ObjectID,Pair,i,j,Distance_Meters_dij,dij,popi,popj,pij20,pij60,pij140,Mij_10%_20mi,Mij_10%_60mi,Mij_10%_140mi,Mij_30%_20mi,Mij_30%_60mi,Mij_30%_140mi,Mij_50%_20mi,Mij_50%_60mi,Mij_50%_140mi,Real_mij,Mij_R
9516,57 - 70,57,70,43438.09,26.99,5385,840,0,0.000333158,0.000292178,0,0,0,0,1,0,0,1,1,0,0
9517,57 - 110,57,110,43531.39,27.05,5385,8222,0,0.003253996,0.002853734,0,2,2,0,5,5,0,9,8,0,0
9518,57 - 112,57,112,45132.90,28.04,5385,4380,0,0.001671949,0.001466288,0,1,1,0,3,2,0,5,4,0,0
9519,57 - 98,57,98,45180.75,28.07,5385,62939,0,0.023999854,0.021047717,0,13,11,0,39,34,0,65,57,1,2
9520,57 - 105,57,105,45693.29,28.39,5385,4463,0,0.001682738,0.001475751,0,1,1,0,3,2,0,5,4,0,0
9521,57 - 66,57,66,45867.24,28.50,5385,7862,0,0.002953062,0.002589816,0,2,1,0,5,4,0,8,7,1,2
9522,57 - 100,57,100,45965.67,28.56,5385,28760,0,0.01077947,0.009453526,0,6,5,0,17,15,0,29,25,0,0
9523,57 - 26,57,26,46320.91,28.78,5385,18645,0,0.006934696,0.006081684,0,4,3,0,11,10,0,19,16,0,0
9524,57 - 82,57,82,46376.99,28.82,5385,44466,0,0.016518386,0.014486519,0,9,8,0,27,23,0,44,39,0,0
9525,57 - 109,57,109,46972.07,29.19,5385,6674,0,0.002447872,0.002146768,0,1,1,0,4,3,0,7,6,0,0
9526,57 - 101,57,101,47244.49,29.36,5385,12876,0,0.004695393,0.00411783,0,3,2,0,8,7,0,13,11,0,0
9527,57 - 44,57,44,47602.14,29.58,5385,18887,0,0.006835631,0.005994805,0,4,3,0,11,10,0,18,16,0,0
9528,57 - 75,57,75,47617.49,29.59,5385,21301,0,0.007706828,0.006758839,0,4,4,0,12,11,0,21,18,0,0
9529,57 - 63,57,63,48022.47,29.84,5385,3780,0,0.001356093,0.001189285,0,1,1,0,2,2,0,4,3,0,0
9530,57 - 90,57,90,48067.71,29.87,5385,72453,0,0.025968396,0.022774116,0,14,12,0,42,37,0,70,61,1,2
9531,57 - 51,57,51,48361.97,30.05,5385,17287,0,0.006158257,0.005400752,0,3,3,0,10,9,0,17,15,0,0
9532,57 - 74,57,74,48516.08,30.15,5385,20432,0,0.007255499,0.006363026,0,4,3,0,12,10,0,20,17,1,2
9533,57 - 106,57,106,49266.02,30.61,5385,7195,0,0.002516086,0.002206591,0,1,1,0,4,4,0,7,6,0,0
9534,57 - 43,57,43,49317.02,30.64,5385,2535,0,0.000885571,0.00077664,0,0,0,0,1,1,0,2,2,0,0
9535,57 - 38,57,38,49463.24,30.74,5385,7366,0,0.002565614,0.002250027,0,1,1,0,4,4,0,7,6,0,0
9536,57 - 35,57,35,49738.74,30.91,5385,26939,0,0.009331014,0.008183239,0,5,4,0,15,13,0,25,22,1,2
9537,57 - 153,57,153,50950.22,31.66,5385,59540,0,0.020132834,0.017656366,0,11,10,0,33,29,0,54,48,0,0
9538,57 - 111,57,111,51442.56,31.96,5385,6370,0,0.002133335,0.001870921,0,1,1,0,3,3,0,6,5,0,0
9539,57 - 114,57,114,51623.59,32.08,5385,10087,0,0.003366324,0.002952245,0,2,2,0,5,5,0,9,8,0,0
9540,57 - 36,57,36,52743.86,32.77,5385,5243,0,0.001712577,0.001501919,0,1,1,0,3,2,0,5,4,0,0
9541,57 - 54,57,54,52811.52,32.82,5385,9395,0,0.003064858,0.00268786,0,2,1,0,5,4,0,8,7,0,0
9542,57 - 29,57,29,52946.20,32.90,5385,38692,0,0.012590082,0.011041421,0,7,6,0,20,18,0,34,30,0,0
9543,57 - 92,57,92,53963.88,33.53,5385,17623,0,0.005626247,0.004934183,0,3,3,0,9,8,0,15,13,0,0
9544,57 - 83,57,83,53988.57,33.55,5385,25506,0,0.008139218,0.007138042,0,4,4,0,13,12,0,22,19,0,0
9545,57 - 97,57,97,55484.83,34.48,5385,15743,0,0.004888272,0.004286983,0,3,2,0,8,7,0,13,12,0,0
9546,57 - 73,57,73,56013.08,34.80,5385,18302,0,0.005629259,0.004936824,0,3,3,0,9,8,0,15,13,1,2
9547,57 - 116,57,116,56251.18,34.95,5385,6914,0,0.00211758,0.001857104,0,1,1,0,3,3,0,6,5,0,0
9548,57 - 79,57,79,56734.15,35.25,5385,5147,0,0.001562974,0.001370718,0,1,1,0,3,2,0,4,4,0,0
9549,57 - 165,57,165,56859.04,35.33,5385,44535,0,0.013494105,0.011834243,0,7,6,0,22,19,0,36,32,0,0
9550,57 - 64,57,64,57554.90,35.76,5385,9395,0,0.002812267,0.00246634,0,2,1,0,5,4,0,8,7,0,0
9551,57 - 42,57,42,57603.81,35.79,5385,18449,0,0.005517772,0.004839051,0,3,3,0,9,8,0,15,13,0,0
9552,57 - 95,57,95,57667.06,35.83,5385,43807,0,0.013087536,0.011477685,0,7,6,0,21,19,0,35,31,0,0
9553,57 - 103,57,103,57703.78,35.86,5385,12950,0,0.003866408,0.003390815,0,2,2,0,6,5,0,10,9,0,0
9554,57 - 94,57,94,58128.79,36.12,5385,24979,0,0.007403309,0.006492655,0,4,3,0,12,10,0,20,17,0,0
9555,57 - 152,57,152,59880.34,37.21,5385,18106,0,0.005209312,0.004568533,0,3,2,0,8,7,0,14,12,0,0
9556,57 - 76,57,76,61782.70,38.39,5385,60032,0,0.016740101,0.014680961,0,9,8,0,27,24,0,45,40,1,2
9557,57 - 147,57,147,62793.87,39.02,5385,29179,0,0.008005626,0.007020882,0,4,4,0,13,11,0,22,19,0,0
9558,57 - 78,57,78,64137.38,39.85,5385,10270,0,0.00275868,0.002419345,0,1,1,0,4,4,0,7,7,0,0
9559,57 - 158,57,158,64380.31,40.00,5385,14158,0,0.003788707,0.003322671,0,2,2,0,6,5,0,10,9,1,2
9560,57 - 150,57,150,64439.58,40.04,5385,22216,0,0.005939574,0.005208968,0,3,3,0,10,8,0,16,14,0,0
9561,57 - 85,57,85,64495.47,40.08,5385,11375,0,0.003038536,0.002664776,0,2,1,0,5,4,0,8,7,0,0
9562,57 - 77,57,77,65662.56,40.80,5385,9665,0,0.002535865,0.002223937,0,1,1,0,4,4,0,7,6,1,2
9563,57 - 159,57,159,66026.90,41.03,5385,23691,0,0.006181653,0.00542127,0,3,3,0,10,9,0,17,15,0,0
9564,57 - 168,57,168,68367.30,42.48,5385,16649,0,0.004195482,0.003679411,0,2,2,0,7,6,0,11,10,0,0
